iter	RMSE
0	1.76766377
1	1.693290328
2	1.621755913
3	1.553086002
4	1.487154469
5	1.425064384
6	1.365155094
7	1.309985865
8	1.256713496
9	1.205324077
10	1.156114365
11	1.108553454
12	1.065180966
13	1.023084261
14	0.9826530652
15	0.9440811645
16	0.9082635088
17	0.8740237581
18	0.8399271912
19	0.8089299069
20	0.7786762289
21	0.7499076962
22	0.7229134049
23	0.6969552382
24	0.6740989653
25	0.6513205742
26	0.6300745254
27	0.6094230529
28	0.5902150127
29	0.5716101547
30	0.5537511021
31	0.5359115917
32	0.5200535752
33	0.5057655095
34	0.492235092
35	0.4800441337
36	0.4676555656
37	0.455843512
38	0.444035027
39	0.4336503968
40	0.4233908206
41	0.4137594001
42	0.4046821861
43	0.3959201211
44	0.3880287949
45	0.3800043671
46	0.3731571431
47	0.366507574
48	0.3599949266
49	0.3543664542
50	0.3483904848
51	0.3430214681
52	0.3380451789
53	0.3330627809
54	0.3287855667
55	0.3245295891
56	0.3206398722
57	0.3168150555
58	0.3134957882
59	0.3097590894
60	0.3065092888
61	0.3037218972
62	0.3006272964
63	0.2981822347
64	0.2958597956
65	0.2934384467
66	0.2911665815
67	0.2892306705
68	0.2873665969
69	0.2857477704
70	0.2837515192
71	0.2821605072
72	0.2803015458
73	0.278881908
74	0.2773351275
75	0.2760145005
76	0.2746125414
77	0.2734901446
78	0.271998987
79	0.2705893302
80	0.2694226049
81	0.2683493904
82	0.2669395081
83	0.2659392434
84	0.2647474301
85	0.2638956589
86	0.2627422439
87	0.2617506628
88	0.2607774019
89	0.2594996155
90	0.2587517844
91	0.2578405273
92	0.2571062745
93	0.2562551897
94	0.2554495866
95	0.2546271017
96	0.2537655626
97	0.2530521988
98	0.2523591276
99	0.2514372899
100	0.2506207
101	0.2500896584
102	0.2495545017
103	0.2489573325
104	0.2481520572
105	0.2473876439
106	0.2468936838
107	0.2462950845
108	0.2457050389
109	0.2452100008
110	0.2448449599
111	0.2441734738
112	0.2438051221
113	0.2432668433
114	0.2427651732
115	0.2421836772
116	0.2415581551
117	0.2409628303
118	0.2403647348
119	0.2398393372
120	0.239425164
121	0.2388088924
122	0.2385585693
123	0.2382010433
124	0.2376973286
125	0.237277514
126	0.2368121967
127	0.2364651836
128	0.2360213386
129	0.2356347329
130	0.234939423
131	0.2344801376
132	0.2338084803
133	0.2333016663
134	0.232727479
135	0.2321399989
136	0.2313083158
137	0.2304616007
138	0.2300019684
139	0.2297859206
140	0.2294580107
141	0.2291222964
142	0.2286301339
143	0.2282531236
144	0.2279887576
145	0.2276067735
146	0.2273276601
147	0.2270007197
148	0.2264363951
149	0.2260823743
150	0.2258902839
151	0.2254360231
152	0.2247478241
153	0.2246980802
154	0.2243066125
155	0.2239342712
156	0.2235589981
157	0.2230611362
158	0.222834747
159	0.222490558
160	0.2220559945
161	0.2215452491
162	0.2211797201
163	0.2209287648
164	0.2206592531
165	0.2200588214
166	0.2196871327
167	0.2193394236
168	0.2190648979
169	0.2188022524
170	0.2185237805
171	0.2182681961
172	0.2179817092
173	0.2177150515
174	0.217511079
175	0.2172382654
176	0.2169312592
177	0.2167345764
178	0.2161636367
179	0.2158036918
180	0.2155486205
181	0.2152672934
182	0.2149069197
183	0.2145421767
184	0.2141409271
185	0.2139805832
186	0.2137467141
187	0.2134847894
188	0.2131459401
189	0.2128794444
190	0.2125181661
191	0.2122720656
192	0.2119941982
193	0.2118724281
194	0.2114611286
195	0.2111919334
196	0.2108966405
197	0.2104801121
198	0.2102423748
199	0.2098319062
200	0.2091911675
201	0.2086179083
202	0.2083276458
203	0.208217839
204	0.2078904965
205	0.2076745639
206	0.2072830697
207	0.2069805675
208	0.2067294619
209	0.2063673221
210	0.2062147237
211	0.2059531531
212	0.2054636407
213	0.20526313
214	0.2047692113
215	0.2042569186
216	0.2038735255
217	0.2035612479
218	0.203436558
219	0.2032118298
220	0.2028831803
221	0.2025979181
222	0.2022256963
223	0.2019560309
224	0.2017404999
225	0.2013732849
226	0.2007230598
227	0.2006344108
228	0.2005215458
229	0.2000400985
230	0.1995898027
231	0.1993602826
232	0.1987146719
233	0.1983892763
234	0.1981223346
235	0.1977945573
236	0.1976942302
237	0.1973151558
238	0.196937192
239	0.1966228931
240	0.1961853778
241	0.1961264242
242	0.1956885407
243	0.1952271694
244	0.1949907126
245	0.1949173689
246	0.1946555615
247	0.1942958365
248	0.1939723655
249	0.193527367
250	0.1932929277
251	0.1929951181
252	0.1926281783
253	0.1923565833
254	0.1920668814
255	0.1917675558
256	0.191591945
257	0.1912677965
258	0.1909903363
259	0.1907253098
260	0.1903731254
261	0.190094909
262	0.18971609
263	0.189442446
264	0.189149331
265	0.1889732574
266	0.1886861554
267	0.1883055015
268	0.1879739676
269	0.1877490891
270	0.1874044788
271	0.1873352848
272	0.1871225558
273	0.1866479577
274	0.1866036402
275	0.1864194435
276	0.1861080087
277	0.1860613962
278	0.1857814534
279	0.1854373567
280	0.1851806278
281	0.184951861
282	0.1846893226
283	0.184382877
284	0.1841873764
285	0.1839191637
286	0.1835498046
287	0.1834847172
288	0.183271358
289	0.1831014033
290	0.1827996502
291	0.1825869335
292	0.1822332529
293	0.1819198096
294	0.1816521035
295	0.1814946961
296	0.1814223275
297	0.1812016376
298	0.1809491515
299	0.1806079452
300	0.1803820316
301	0.1800973123
302	0.1798449697
303	0.1795847951
304	0.1792713669
305	0.1792323359
306	0.1789768628
307	0.1787489743
308	0.178710439
309	0.1785758604
310	0.1783295649
311	0.1782954999
312	0.1780949571
313	0.1777205497
314	0.1776897406
315	0.1775260776
316	0.1772988758
317	0.1771229797
318	0.1769011407
319	0.1766700049
320	0.1764437051
321	0.1762433131
322	0.1760569353
323	0.17603136
324	0.1758139958
325	0.1755875352
326	0.1752921981
327	0.1752612564
328	0.1750893505
329	0.1748881076
330	0.1748265651
331	0.1744855798
332	0.1742289194
333	0.1742044108
334	0.1740810499
335	0.1739032659
336	0.1736629277
337	0.1734380654
338	0.1733144306
339	0.1731439815
340	0.1729411069
341	0.1727549405
342	0.1725507874
343	0.1724598959
344	0.1724368981
345	0.172287492
346	0.1719954518
347	0.1719741214
348	0.1716034291
349	0.1715776292
350	0.171557893
351	0.1715426366
352	0.1715262056
353	0.171510583
354	0.1714757225
355	0.1710039903
356	0.1709837828
357	0.1709602999
358	0.1709277963
359	0.1708064784
360	0.1707916509
361	0.1707734785
362	0.1706214148
363	0.1706098159
364	0.1705695589
365	0.1705587684
366	0.170455967
367	0.1702076577
368	0.1699815626
369	0.1697466259
370	0.1694157329
371	0.1691507948
372	0.1689794291
373	0.1687030085
374	0.1684705644
375	0.168320502
376	0.1682229169
377	0.1680812591
378	0.1680405392
379	0.167771159
380	0.1675769812
381	0.1675661328
382	0.1673981974
383	0.1672401038
384	0.1670664276
385	0.1668127747
386	0.1663872121
387	0.1661796506
388	0.1661163772
389	0.165935889
390	0.1657407063
391	0.1654766269
392	0.1653129553
393	0.1651477642
394	0.1648773998
395	0.164576593
396	0.1644060733
397	0.1642051945
398	0.1639094622
399	0.1637562091
400	0.1635509339
401	0.1635084482
402	0.1633048367
403	0.1630867575
404	0.1629142701
405	0.1628412268
406	0.1626460245
407	0.1625175623
408	0.1623554491
409	0.1620201065
410	0.1617547637
411	0.1615768965
412	0.1612787842
413	0.160994881
414	0.1608045458
415	0.1606471137
416	0.1604217927
417	0.1602145801
418	0.1600419295
419	0.1599065891
420	0.1597436469
421	0.159554702
422	0.1593473195
423	0.1590572591
424	0.1587676956
425	0.1585283659
426	0.1583869744
427	0.1582558801
428	0.1581955993
429	0.1580526826
430	0.1579132081
431	0.1578177745
432	0.1576081044
433	0.1574297323
434	0.1572458319
435	0.1571260941
436	0.1569955339
437	0.1567183733
438	0.1564415745
439	0.1562199746
440	0.1559826658
441	0.1558473259
442	0.1557550856
443	0.1555946263
444	0.1554554979
445	0.155278783
446	0.1549881482
447	0.154832093
448	0.1545875454
449	0.1543197062
450	0.1541933779
451	0.1539736016
452	0.1538002669
453	0.1536678233
454	0.1534405348
455	0.1533401234
456	0.1532221257
457	0.1528687725
458	0.152719992
459	0.1525747127
460	0.15241741
461	0.1522868468
462	0.1520933475
463	0.1518823629
464	0.1517179017
465	0.1515413418
466	0.1512889485
467	0.1511333382
468	0.1509999729
469	0.1508813436
470	0.1505025013
471	0.150433524
472	0.1503398054
473	0.1501812998
474	0.1501210906
475	0.149996202
476	0.1498850673
477	0.1498157617
478	0.1496292808
479	0.1493525818
480	0.1492876815
481	0.1490333994
482	0.1488959585
483	0.1486982362
484	0.1485808418
485	0.1485108181
486	0.1483973066
487	0.1482215846
488	0.1479705361
489	0.1478374532
490	0.1477757034
491	0.1477176298
492	0.1476130464
493	0.147508345
494	0.1473826039
495	0.1471772339
496	0.1471058713
497	0.1467202334
498	0.1466648178
499	0.1465611884
500	0.1464677178
501	0.1463302927
502	0.1461894941
503	0.1459874607
504	0.1456563359
505	0.1455517016
506	0.1453937563
507	0.1452715124
508	0.1452209864
509	0.1450798556
510	0.1449097334
511	0.1446748282
512	0.1444532107
513	0.1443116778
514	0.1441465827
515	0.1439293543
516	0.143779732
517	0.1436253623
518	0.143484883
519	0.1431706585
520	0.1430094153
521	0.1428030971
522	0.1427276903
523	0.1425801882
524	0.1425367974
525	0.1425071226
526	0.1424102524
527	0.1423215503
528	0.1422492669
529	0.1421175132
530	0.1419762193
531	0.1418181594
532	0.1417494194
533	0.1415420498
534	0.1414001458
535	0.1413211205
536	0.1412029442
537	0.1411118646
538	0.1409656367
539	0.1408932604
540	0.1407942551
541	0.1405534395
542	0.1404531138
543	0.1404020325
544	0.1403243879
545	0.1402082648
546	0.1400976061
547	0.1399983704
548	0.1398519051
549	0.1398167857
550	0.1397915579
551	0.139740781
552	0.1395531383
553	0.1393481246
554	0.1392513909
555	0.1389186431
556	0.1387398196
557	0.138599862
558	0.1385020984
559	0.1383592737
560	0.1382839442
561	0.138230275
562	0.1381715918
563	0.1380408064
564	0.13795104
565	0.1378137966
566	0.1377200846
567	0.1376046819
568	0.1374971616
569	0.1374065144
570	0.1372354888
571	0.1371379933
572	0.137030521
573	0.1369178047
574	0.136650773
575	0.1363590324
576	0.1361915739
577	0.1361160428
578	0.1360250232
579	0.1359597592
580	0.1358542124
581	0.1358005891
582	0.1356483071
583	0.1355225148
584	0.1353946935
585	0.1352624081
586	0.1351531942
587	0.1350534335
588	0.134889664
589	0.1347332033
590	0.1346515956
591	0.1344118269
592	0.1343301439
593	0.1340201945
594	0.133970334
595	0.1337686046
596	0.1335816714
597	0.133497051
598	0.1334280866
599	0.1332817305
600	0.1330946159
601	0.13293915
602	0.1327589026
603	0.1326383954
604	0.1325884162
605	0.1324272017
606	0.1323386021
607	0.1322185704
608	0.1321239282
609	0.132004822
610	0.1318729449
611	0.1316793246
612	0.1315457427
613	0.1313614414
614	0.1312452434
615	0.1311440589
616	0.1310459213
617	0.1309019599
618	0.1307293368
619	0.1305593372
620	0.1304462251
621	0.1302789597
622	0.1302177105
623	0.1300587593
624	0.1299186451
625	0.1298399592
626	0.129779006
627	0.1297212181
628	0.1295610524
629	0.1294972365
630	0.1294459595
631	0.1293178986
632	0.1292279537
633	0.1288948759
634	0.12882458
635	0.1287495499
636	0.1286129519
637	0.1284657799
638	0.1283317482
639	0.1282205882
640	0.1279411786
641	0.1278573338
642	0.1277650364
643	0.1276530428
644	0.1275380582
645	0.1273997635
646	0.1273423745
647	0.1272478308
648	0.1272001123
649	0.1271179208
650	0.1270666833
651	0.1268138321
652	0.126677318
653	0.1265468623
654	0.1264357307
655	0.1263697555
656	0.1263618434
657	0.1261792166
658	0.1260320695
659	0.1259506657
660	0.1257592185
661	0.1256866077
662	0.125650024
663	0.125547279
664	0.1254577069
665	0.1254080185
666	0.1253265931
667	0.1252500953
668	0.1251588977
669	0.125149164
670	0.125095841
671	0.1249644256
672	0.124846738
673	0.1247682623
674	0.1245956127
675	0.1244724767
676	0.1242785335
677	0.1240613901
678	0.1240393677
679	0.1239482464
680	0.1238551748
681	0.1238030741
682	0.1236258661
683	0.1235354562
