iter	Passed	Remaining
0	1	1610
1	3	1533
2	4	1502
3	5	1466
4	7	1474
5	8	1484
6	10	1469
7	11	1402
8	12	1392
9	14	1387
10	15	1391
11	17	1405
12	18	1397
13	20	1409
14	21	1414
15	23	1418
16	24	1418
17	25	1416
18	27	1412
19	28	1406
20	30	1403
21	31	1405
22	33	1402
23	34	1400
24	35	1400
25	37	1396
26	38	1390
27	40	1389
28	41	1387
29	42	1384
30	44	1384
31	45	1382
32	47	1385
33	48	1387
34	50	1386
35	51	1367
36	52	1369
37	54	1368
38	55	1365
39	56	1361
40	58	1359
41	59	1356
42	60	1353
43	62	1351
44	63	1348
45	64	1347
46	66	1344
47	67	1343
48	69	1340
49	70	1337
50	71	1334
51	73	1332
52	74	1329
53	75	1326
54	77	1324
55	78	1321
56	79	1320
57	81	1318
58	82	1318
59	84	1317
60	85	1316
61	86	1314
62	88	1315
63	89	1314
64	91	1315
65	92	1314
66	94	1313
67	95	1312
68	97	1313
69	98	1313
70	100	1313
71	101	1312
72	103	1311
73	104	1309
74	106	1309
75	107	1307
76	108	1305
77	110	1303
78	111	1303
79	113	1301
80	114	1298
81	115	1296
82	117	1295
83	118	1292
84	119	1291
85	121	1289
86	122	1287
87	123	1284
88	125	1281
89	126	1280
90	128	1280
91	129	1280
92	131	1278
93	132	1278
94	134	1278
95	135	1277
96	137	1275
97	138	1274
98	139	1272
99	141	1271
100	142	1269
101	144	1268
102	145	1266
103	146	1265
104	148	1264
105	149	1262
106	151	1260
107	152	1259
108	153	1257
109	155	1255
110	156	1252
111	157	1251
112	159	1250
113	160	1249
114	162	1248
115	163	1247
116	165	1246
117	166	1244
118	167	1242
119	169	1240
120	170	1239
121	172	1239
122	173	1237
123	175	1236
124	176	1236
125	178	1236
126	179	1234
127	181	1233
128	182	1233
129	183	1231
130	185	1228
131	186	1227
132	188	1225
133	189	1224
134	190	1222
135	192	1220
136	193	1219
137	195	1218
138	196	1217
139	197	1216
140	199	1214
141	200	1212
142	202	1211
143	203	1209
144	204	1207
145	206	1206
146	207	1205
147	209	1204
148	210	1203
149	212	1202
150	213	1201
151	215	1200
152	216	1198
153	217	1192
154	218	1191
155	219	1189
156	221	1188
157	222	1187
158	224	1186
159	225	1184
160	227	1183
161	228	1182
162	229	1180
163	231	1179
164	232	1177
165	234	1175
166	235	1174
167	236	1172
168	238	1170
169	239	1168
170	240	1168
171	242	1166
172	243	1165
173	245	1164
174	246	1162
175	247	1160
176	249	1159
177	250	1157
178	251	1155
179	253	1154
180	254	1152
181	256	1151
182	257	1149
183	259	1149
184	260	1148
185	262	1147
186	263	1146
187	265	1145
188	266	1144
189	267	1142
190	269	1141
191	270	1140
192	272	1138
193	273	1136
194	275	1135
195	276	1134
196	277	1132
197	279	1131
198	280	1129
199	281	1127
200	283	1126
201	284	1124
202	286	1123
203	287	1121
204	288	1120
205	290	1119
206	291	1118
207	293	1117
208	294	1115
209	296	1114
210	297	1112
211	299	1111
212	300	1110
213	301	1108
214	303	1107
215	304	1106
216	306	1104
217	307	1103
218	309	1101
219	310	1100
220	311	1099
221	313	1097
222	314	1096
223	315	1094
224	317	1092
225	318	1090
226	319	1089
227	321	1088
228	322	1086
229	324	1085
230	325	1084
231	327	1082
232	328	1081
233	329	1079
234	331	1078
235	332	1077
236	334	1075
237	335	1074
238	337	1073
239	338	1072
240	340	1071
241	341	1069
242	342	1068
