iter	RMSE
0	1.783322668
1	1.713235596
2	1.648036266
3	1.582706208
4	1.52052172
5	1.460259669
6	1.403969843
7	1.351109047
8	1.299337196
9	1.251137786
10	1.205038663
11	1.159951709
12	1.11644052
13	1.077154451
14	1.037365309
15	0.9985035785
16	0.9630959117
17	0.9285942246
18	0.8980844762
19	0.8686318106
20	0.8373826252
21	0.810212313
22	0.7844769839
23	0.7607546718
24	0.7368382629
25	0.7135507699
26	0.6898631068
27	0.6702384196
28	0.6519377124
29	0.633311492
30	0.6148041497
31	0.5965612759
32	0.5798664082
33	0.5636477062
34	0.5480655385
35	0.5332215308
36	0.5187330273
37	0.5055980486
38	0.4919936181
39	0.4809402139
40	0.4698125924
41	0.4580432307
42	0.4483822914
43	0.4384849931
44	0.4298680219
45	0.4215570646
46	0.4128299719
47	0.4041441182
48	0.3969745805
49	0.3894685346
50	0.3821473595
51	0.375446062
52	0.3697831353
53	0.3644015331
54	0.3595534206
55	0.3542160189
56	0.3492192191
57	0.3445575626
58	0.3396633503
59	0.3352736183
60	0.332008601
61	0.3282656851
62	0.3250665885
63	0.3219191783
64	0.3189909667
65	0.3150821922
66	0.3116771377
67	0.3087462188
68	0.3062695716
69	0.3038544395
70	0.3012834148
71	0.2983755775
72	0.2960308302
73	0.293662491
74	0.2911598496
75	0.2888708229
76	0.2868694302
77	0.2847650941
78	0.2826402618
79	0.2811399525
80	0.2793523717
81	0.2778069551
82	0.2763699176
83	0.2749870246
84	0.2735055107
85	0.2721065518
86	0.2704906098
87	0.2686335697
88	0.267478604
89	0.2663883445
90	0.2650500225
91	0.2640969948
92	0.2630937804
93	0.2619713009
94	0.260916579
95	0.2599854828
96	0.2590270711
97	0.2581351506
98	0.2572180898
99	0.2562939909
100	0.255561733
101	0.2546773944
102	0.2540304284
103	0.2532296117
104	0.2522180163
105	0.2514013788
106	0.2506954621
107	0.2500261943
108	0.2492851349
109	0.2485207912
110	0.2480756057
111	0.2475653076
112	0.2469426599
113	0.2461348498
114	0.2455614654
115	0.2449942834
116	0.244290804
117	0.2436613467
118	0.242747886
119	0.2418855732
120	0.2413784206
121	0.2408743663
122	0.2403966396
123	0.2393862805
124	0.2389016692
125	0.2383972986
126	0.2378045795
127	0.2373102704
128	0.2369124172
129	0.2358652701
130	0.2352787403
131	0.2343595753
132	0.2338932921
133	0.2334824248
134	0.2331402571
135	0.2326376671
136	0.2321486885
137	0.2314287673
138	0.2310821306
139	0.2306252656
140	0.2301480635
141	0.2296539033
142	0.2292228888
143	0.228859546
144	0.2279143724
145	0.2274786415
146	0.2271912307
147	0.2268840315
148	0.2262894874
149	0.2259442045
150	0.2253554409
151	0.2251450103
152	0.2244934065
153	0.2235766633
154	0.2229163626
155	0.2225723149
156	0.2219924201
157	0.2216386985
158	0.221078395
159	0.2203436407
160	0.2201190637
161	0.2193081554
162	0.2188462924
163	0.2184894919
164	0.2178215492
165	0.2176047061
166	0.21724862
167	0.21682036
168	0.2165211525
169	0.2161176177
170	0.2155854011
171	0.2152141305
172	0.2145481213
173	0.2142400871
174	0.2139180205
175	0.2136962966
176	0.2133364437
177	0.2130131433
178	0.2128273842
179	0.2122667654
180	0.2119111056
181	0.2116155144
182	0.2114143917
183	0.2110162866
184	0.2103565269
185	0.2099786436
186	0.2092297946
187	0.2090115497
188	0.2084104023
189	0.2080551862
190	0.2077542675
191	0.2073120595
192	0.2068633828
193	0.2064029781
194	0.2058817459
